instrument,timeframe,timestamp,open,high,low,close
BTCUSD,D1,2019-01-02 01:00:00+00:00,3700.0,3879.0,3688.0,3861.0
BTCUSD,D1,2019-01-03 01:00:00+00:00,3864.0,3894.0,3740.0,3775.0
BTCUSD,D1,2019-01-04 01:00:00+00:00,3774.0,3832.0,3710.0,3815.0
BTCUSD,D1,2019-01-07 01:00:00+00:00,4027.0,4040.0,3951.0,3983.0
BTCUSD,D1,2019-01-08 01:00:00+00:00,3986.0,4085.0,3929.0,3979.0
BTCUSD,D1,2019-01-09 01:00:00+00:00,3974.0,4021.0,3945.0,3983.0
BTCUSD,D1,2019-01-10 01:00:00+00:00,3984.0,4015.0,3550.0,3616.0
BTCUSD,D1,2019-01-11 01:00:00+00:00,3609.0,3675.0,3568.0,3629.0
BTCUSD,D1,2019-01-14 01:00:00+00:00,3495.0,3689.0,3476.0,3644.0
BTCUSD,D1,2019-01-15 01:00:00+00:00,3647.0,3666.0,3527.0,3547.0
BTCUSD,D1,2019-01-16 01:00:00+00:00,3548.0,3646.0,3548.0,3579.0
BTCUSD,D1,2019-01-17 01:00:00+00:00,3583.0,3638.0,3524.0,3604.0
BTCUSD,D1,2019-01-18 01:00:00+00:00,3604.0,3631.0,3559.0,3592.0
BTCUSD,D1,2019-01-21 01:00:00+00:00,3520.0,3547.0,3487.0,3501.0
BTCUSD,D1,2019-01-22 01:00:00+00:00,3502.0,3590.0,3406.0,3554.0
BTCUSD,D1,2019-01-23 01:00:00+00:00,3553.0,3594.0,3503.0,3524.0
BTCUSD,D1,2019-01-24 01:00:00+00:00,3526.0,3575.0,3509.0,3551.0
BTCUSD,D1,2019-01-25 01:00:00+00:00,3551.0,3558.0,3492.0,3538.0
BTCUSD,D1,2019-01-28 01:00:00+00:00,3521.0,3522.0,3360.0,3397.0
BTCUSD,D1,2019-01-29 01:00:00+00:00,3397.0,3421.0,3322.0,3382.0
BTCUSD,D1,2019-01-30 01:00:00+00:00,3381.0,3439.0,3353.0,3413.0
BTCUSD,D1,2019-01-31 01:00:00+00:00,3413.0,3451.0,3376.0,3397.0
BTCUSD,D1,2019-02-01 01:00:00+00:00,3397.0,3436.0,3355.0,3430.0
BTCUSD,D1,2019-02-04 01:00:00+00:00,3374.0,3417.0,3372.0,3398.0
BTCUSD,D1,2019-02-05 01:00:00+00:00,3398.0,3412.0,3379.0,3403.0
BTCUSD,D1,2019-02-06 01:00:00+00:00,3404.0,3425.0,3318.0,3346.0
BTCUSD,D1,2019-02-07 01:00:00+00:00,3347.0,3361.0,3333.0,3339.0
BTCUSD,D1,2019-02-08 01:00:00+00:00,3339.0,3689.0,3324.0,3577.0
