instrument,timeframe,timestamp,open,high,low,close
EURUSD,D1,2012-01-02 00:00:00+00:00,1.29443,1.29681,1.29168,1.29338
EURUSD,D1,2012-01-03 00:00:00+00:00,1.29337,1.30762,1.29316,1.30509
EURUSD,D1,2012-01-04 00:00:00+00:00,1.30509,1.30719,1.28974,1.29361
EURUSD,D1,2012-01-05 00:00:00+00:00,1.29359,1.29434,1.27702,1.27904
EURUSD,D1,2012-01-06 00:00:00+00:00,1.27907,1.28121,1.26972,1.27188
EURUSD,D1,2012-01-09 00:00:00+00:00,1.26923,1.27848,1.26661,1.27686
EURUSD,D1,2012-01-10 00:00:00+00:00,1.27682,1.28174,1.27424,1.27708
EURUSD,D1,2012-01-11 00:00:00+00:00,1.27708,1.27893,1.26619,1.27075
EURUSD,D1,2012-01-12 00:00:00+00:00,1.2708,1.28442,1.26994,1.28136
EURUSD,D1,2012-01-13 00:00:00+00:00,1.28135,1.28778,1.26241,1.26754
EURUSD,D1,2012-01-16 00:00:00+00:00,1.26383,1.26873,1.26254,1.265
EURUSD,D1,2012-01-17 00:00:00+00:00,1.26501,1.2808,1.26488,1.27401
EURUSD,D1,2012-01-18 00:00:00+00:00,1.27402,1.28673,1.27337,1.2853
EURUSD,D1,2012-01-19 00:00:00+00:00,1.28529,1.29713,1.2839,1.29666
EURUSD,D1,2012-01-20 00:00:00+00:00,1.29664,1.29854,1.28873,1.29298
EURUSD,D1,2012-01-23 00:00:00+00:00,1.28808,1.30521,1.28807,1.3013
EURUSD,D1,2012-01-24 00:00:00+00:00,1.30131,1.30618,1.29534,1.30303
EURUSD,D1,2012-01-25 00:00:00+00:00,1.30302,1.31199,1.29307,1.30987
EURUSD,D1,2012-01-26 00:00:00+00:00,1.3099,1.31832,1.30896,1.31045
EURUSD,D1,2012-01-27 00:00:00+00:00,1.31044,1.3233,1.3077,1.32189
EURUSD,D1,2012-01-30 00:00:00+00:00,1.32148,1.32206,1.30767,1.31403
EURUSD,D1,2012-01-31 00:00:00+00:00,1.31404,1.32126,1.30427,1.30879
EURUSD,D1,2012-02-01 00:00:00+00:00,1.30881,1.32168,1.30257,1.31698
EURUSD,D1,2012-02-02 00:00:00+00:00,1.31697,1.31959,1.30854,1.31446
EURUSD,D1,2012-02-03 00:00:00+00:00,1.31445,1.31989,1.30657,1.31561
EURUSD,D1,2012-02-06 00:00:00+00:00,1.31211,1.31409,1.30278,1.3123
EURUSD,D1,2012-02-07 00:00:00+00:00,1.31229,1.32692,1.30891,1.32613
EURUSD,D1,2012-02-08 00:00:00+00:00,1.32612,1.32878,1.32207,1.32508
EURUSD,D1,2012-02-09 00:00:00+00:00,1.32507,1.33199,1.32148,1.32847
EURUSD,D1,2012-02-10 00:00:00+00:00,1.32846,1.32901,1.31551,1.31957
EURUSD,D1,2012-02-13 00:00:00+00:00,1.3238,1.32833,1.31685,1.31731
EURUSD,D1,2012-02-14 00:00:00+00:00,1.3173,1.32154,1.308,1.31278
EURUSD,D1,2012-02-15 00:00:00+00:00,1.31277,1.31902,1.30442,1.30592
EURUSD,D1,2012-02-16 00:00:00+00:00,1.30592,1.31572,1.29745,1.31303
EURUSD,D1,2012-02-17 00:00:00+00:00,1.31303,1.31964,1.31148,1.31418
EURUSD,D1,2012-02-20 00:00:00+00:00,1.32026,1.32762,1.31821,1.32332
EURUSD,D1,2012-02-21 00:00:00+00:00,1.3233,1.32922,1.31865,1.3232
EURUSD,D1,2012-02-22 00:00:00+00:00,1.32318,1.32652,1.3211,1.32476
EURUSD,D1,2012-02-23 00:00:00+00:00,1.32476,1.33776,1.32309,1.33738
EURUSD,D1,2012-02-24 00:00:00+00:00,1.33736,1.34856,1.33569,1.34478
EURUSD,D1,2012-02-27 00:00:00+00:00,1.34595,1.34707,1.33662,1.33939
EURUSD,D1,2012-02-28 00:00:00+00:00,1.33938,1.34703,1.33896,1.34583
EURUSD,D1,2012-02-29 00:00:00+00:00,1.34584,1.34851,1.33145,1.33232
EURUSD,D1,2012-03-01 00:00:00+00:00,1.33227,1.33559,1.32825,1.33161
EURUSD,D1,2012-03-02 00:00:00+00:00,1.3316,1.3332,1.31876,1.31979
EURUSD,D1,2012-03-05 00:00:00+00:00,1.31953,1.32394,1.316,1.32158
EURUSD,D1,2012-03-06 00:00:00+00:00,1.32157,1.32252,1.3103,1.31134
EURUSD,D1,2012-03-07 00:00:00+00:00,1.31135,1.31636,1.30961,1.31503
EURUSD,D1,2012-03-08 00:00:00+00:00,1.31503,1.32904,1.31349,1.3276
EURUSD,D1,2012-03-09 00:00:00+00:00,1.32759,1.32766,1.30966,1.31221
EURUSD,D1,2012-03-12 00:00:00+00:00,1.3116,1.31581,1.30786,1.31547
EURUSD,D1,2012-03-13 00:00:00+00:00,1.31547,1.31905,1.30516,1.30816
EURUSD,D1,2012-03-14 00:00:00+00:00,1.30816,1.30901,1.30106,1.30299
EURUSD,D1,2012-03-15 00:00:00+00:00,1.303,1.31184,1.30032,1.30715
EURUSD,D1,2012-03-16 00:00:00+00:00,1.30715,1.31862,1.30484,1.31735
EURUSD,D1,2012-03-19 00:00:00+00:00,1.31797,1.32642,1.31415,1.32345
EURUSD,D1,2012-03-20 00:00:00+00:00,1.32345,1.32512,1.3172,1.3229
EURUSD,D1,2012-03-21 00:00:00+00:00,1.32289,1.3284,1.3178,1.32121
EURUSD,D1,2012-03-22 00:00:00+00:00,1.3212,1.3254,1.31343,1.3198
EURUSD,D1,2012-03-23 00:00:00+00:00,1.31981,1.32916,1.31906,1.3269
EURUSD,D1,2012-03-26 00:00:00+00:00,1.3268,1.33667,1.31919,1.33561
EURUSD,D1,2012-03-27 00:00:00+00:00,1.3356,1.33848,1.33126,1.33181
EURUSD,D1,2012-03-28 00:00:00+00:00,1.3318,1.3372,1.3277,1.33146
EURUSD,D1,2012-03-29 00:00:00+00:00,1.33147,1.33449,1.32518,1.32987
EURUSD,D1,2012-03-30 00:00:00+00:00,1.32988,1.33755,1.32975,1.33408
EURUSD,D1,2012-04-02 00:00:00+00:00,1.33562,1.33801,1.32781,1.33167
EURUSD,D1,2012-04-03 00:00:00+00:00,1.33166,1.3367,1.32128,1.32347
EURUSD,D1,2012-04-04 00:00:00+00:00,1.32346,1.32372,1.31069,1.31393
EURUSD,D1,2012-04-05 00:00:00+00:00,1.31396,1.31636,1.30346,1.30635
EURUSD,D1,2012-04-06 00:00:00+00:00,1.30634,1.31115,1.30506,1.30911
EURUSD,D1,2012-04-09 00:00:00+00:00,1.30961,1.3133,1.3033,1.31088
EURUSD,D1,2012-04-10 00:00:00+00:00,1.31086,1.31436,1.30538,1.30815
EURUSD,D1,2012-04-11 00:00:00+00:00,1.30815,1.31564,1.30659,1.31096
EURUSD,D1,2012-04-12 00:00:00+00:00,1.31095,1.32122,1.31018,1.31864
EURUSD,D1,2012-04-13 00:00:00+00:00,1.31863,1.32001,1.30691,1.30764
EURUSD,D1,2012-04-16 00:00:00+00:00,1.3069,1.31466,1.29945,1.31313
EURUSD,D1,2012-04-17 00:00:00+00:00,1.31314,1.31717,1.30899,1.31271
EURUSD,D1,2012-04-18 00:00:00+00:00,1.31271,1.31402,1.30577,1.31181
EURUSD,D1,2012-04-19 00:00:00+00:00,1.31182,1.31648,1.30697,1.31343
EURUSD,D1,2012-04-20 00:00:00+00:00,1.31343,1.32262,1.31284,1.3217
EURUSD,D1,2012-04-23 00:00:00+00:00,1.3192,1.32098,1.31042,1.31554
EURUSD,D1,2012-04-24 00:00:00+00:00,1.31553,1.32174,1.31445,1.31944
EURUSD,D1,2012-04-25 00:00:00+00:00,1.31945,1.32356,1.3173,1.32224
EURUSD,D1,2012-04-26 00:00:00+00:00,1.32222,1.32623,1.31806,1.31919
EURUSD,D1,2012-04-27 00:00:00+00:00,1.31918,1.32695,1.31572,1.32514
EURUSD,D1,2012-04-30 00:00:00+00:00,1.32408,1.3266,1.32078,1.32417
EURUSD,D1,2012-05-01 00:00:00+00:00,1.32416,1.32828,1.32039,1.32378
EURUSD,D1,2012-05-02 00:00:00+00:00,1.32376,1.32408,1.3123,1.31538
EURUSD,D1,2012-05-03 00:00:00+00:00,1.31539,1.31795,1.30963,1.31513
EURUSD,D1,2012-05-04 00:00:00+00:00,1.31513,1.31775,1.30799,1.30832
EURUSD,D1,2012-05-07 00:00:00+00:00,1.30245,1.3064,1.29546,1.30573
EURUSD,D1,2012-05-08 00:00:00+00:00,1.30574,1.30645,1.29821,1.29985
EURUSD,D1,2012-05-09 00:00:00+00:00,1.29987,1.30053,1.2911,1.2934
EURUSD,D1,2012-05-10 00:00:00+00:00,1.29341,1.29783,1.29244,1.29314
EURUSD,D1,2012-05-11 00:00:00+00:00,1.29313,1.29569,1.29044,1.29162
EURUSD,D1,2012-05-14 00:00:00+00:00,1.28872,1.29038,1.28207,1.28256
EURUSD,D1,2012-05-15 00:00:00+00:00,1.28257,1.28689,1.27215,1.27337
EURUSD,D1,2012-05-16 00:00:00+00:00,1.27336,1.27579,1.26807,1.27158
EURUSD,D1,2012-05-17 00:00:00+00:00,1.27161,1.27488,1.26649,1.26812
EURUSD,D1,2012-05-18 00:00:00+00:00,1.26813,1.27933,1.26417,1.27783
EURUSD,D1,2012-05-21 00:00:00+00:00,1.27767,1.2823,1.27248,1.28069
EURUSD,D1,2012-05-22 00:00:00+00:00,1.28073,1.28168,1.26575,1.26798
EURUSD,D1,2012-05-23 00:00:00+00:00,1.26799,1.26864,1.25449,1.25863
EURUSD,D1,2012-05-24 00:00:00+00:00,1.25864,1.26188,1.25156,1.2536
EURUSD,D1,2012-05-25 00:00:00+00:00,1.25359,1.26015,1.24964,1.25153
EURUSD,D1,2012-05-28 00:00:00+00:00,1.25707,1.26235,1.25244,1.25394
EURUSD,D1,2012-05-29 00:00:00+00:00,1.25393,1.2574,1.24609,1.24864
EURUSD,D1,2012-05-30 00:00:00+00:00,1.24865,1.24932,1.23608,1.23675
EURUSD,D1,2012-05-31 00:00:00+00:00,1.23676,1.24278,1.23362,1.23597
EURUSD,D1,2012-06-01 00:00:00+00:00,1.23594,1.24537,1.22882,1.24325
EURUSD,D1,2012-06-04 00:00:00+00:00,1.24371,1.25087,1.23854,1.24943
EURUSD,D1,2012-06-05 00:00:00+00:00,1.24943,1.25411,1.24099,1.24507
EURUSD,D1,2012-06-06 00:00:00+00:00,1.24507,1.25848,1.24404,1.2577
EURUSD,D1,2012-06-07 00:00:00+00:00,1.2577,1.26243,1.25397,1.25631
EURUSD,D1,2012-06-08 00:00:00+00:00,1.2563,1.25742,1.24352,1.2516
EURUSD,D1,2012-06-11 00:00:00+00:00,1.26478,1.26677,1.24637,1.24653
EURUSD,D1,2012-06-12 00:00:00+00:00,1.24652,1.2528,1.24423,1.25045
EURUSD,D1,2012-06-13 00:00:00+00:00,1.25045,1.26094,1.24733,1.25659
EURUSD,D1,2012-06-14 00:00:00+00:00,1.25657,1.26354,1.25419,1.26281
EURUSD,D1,2012-06-15 00:00:00+00:00,1.2628,1.26643,1.25919,1.26361
EURUSD,D1,2012-06-18 00:00:00+00:00,1.27371,1.27468,1.25569,1.25767
EURUSD,D1,2012-06-19 00:00:00+00:00,1.25766,1.27297,1.25682,1.26877
EURUSD,D1,2012-06-20 00:00:00+00:00,1.26878,1.27418,1.26381,1.26974
EURUSD,D1,2012-06-21 00:00:00+00:00,1.26975,1.27009,1.25317,1.25474
EURUSD,D1,2012-06-22 00:00:00+00:00,1.25475,1.25827,1.25191,1.25677
EURUSD,D1,2012-06-25 00:00:00+00:00,1.25544,1.25575,1.2471,1.25008
EURUSD,D1,2012-06-26 00:00:00+00:00,1.25003,1.25298,1.24419,1.2491
EURUSD,D1,2012-06-27 00:00:00+00:00,1.24911,1.25074,1.24454,1.24686
EURUSD,D1,2012-06-28 00:00:00+00:00,1.24686,1.25236,1.24071,1.24403
EURUSD,D1,2012-06-29 00:00:00+00:00,1.24402,1.26918,1.24331,1.26655
EURUSD,D1,2012-07-02 00:00:00+00:00,1.26696,1.26703,1.2568,1.25846
EURUSD,D1,2012-07-03 00:00:00+00:00,1.25845,1.26257,1.25588,1.26058
EURUSD,D1,2012-07-04 00:00:00+00:00,1.26057,1.26063,1.2508,1.25261
EURUSD,D1,2012-07-05 00:00:00+00:00,1.25262,1.25375,1.23637,1.23901
EURUSD,D1,2012-07-06 00:00:00+00:00,1.23899,1.24008,1.22598,1.22875
EURUSD,D1,2012-07-09 00:00:00+00:00,1.22659,1.2323,1.22557,1.23135
EURUSD,D1,2012-07-10 00:00:00+00:00,1.23135,1.23331,1.22351,1.2251
EURUSD,D1,2012-07-11 00:00:00+00:00,1.22512,1.22957,1.22124,1.22422
