instrument,timeframe,timestamp,open,high,low,close
GBPUSD,D1,2019-01-02 00:00:00+00:00,1.27411,1.27722,1.25808,1.26094
GBPUSD,D1,2019-01-03 00:00:00+00:00,1.25975,1.26467,1.24252,1.26368
GBPUSD,D1,2019-01-04 00:00:00+00:00,1.26242,1.2744,1.26151,1.27247
GBPUSD,D1,2019-01-07 00:00:00+00:00,1.27164,1.27862,1.27104,1.27735
GBPUSD,D1,2019-01-08 00:00:00+00:00,1.27768,1.27962,1.27062,1.27137
GBPUSD,D1,2019-01-09 00:00:00+00:00,1.27116,1.2803,1.27058,1.27882
GBPUSD,D1,2019-01-10 00:00:00+00:00,1.2787,1.28004,1.27276,1.27499
GBPUSD,D1,2019-01-11 00:00:00+00:00,1.27392,1.28651,1.27093,1.28353
GBPUSD,D1,2019-01-14 00:00:00+00:00,1.28537,1.29298,1.28178,1.28666
GBPUSD,D1,2019-01-15 00:00:00+00:00,1.28552,1.29151,1.26668,1.28585
GBPUSD,D1,2019-01-16 00:00:00+00:00,1.28547,1.28968,1.28243,1.2878
GBPUSD,D1,2019-01-17 00:00:00+00:00,1.28756,1.30002,1.28316,1.2985
GBPUSD,D1,2019-01-18 00:00:00+00:00,1.29833,1.29931,1.28568,1.28703
GBPUSD,D1,2019-01-21 00:00:00+00:00,1.28725,1.29101,1.28297,1.28898
GBPUSD,D1,2019-01-22 00:00:00+00:00,1.28886,1.29747,1.28547,1.29562
GBPUSD,D1,2019-01-23 00:00:00+00:00,1.29503,1.30802,1.29424,1.30676
GBPUSD,D1,2019-01-24 00:00:00+00:00,1.30665,1.30935,1.30117,1.30618
GBPUSD,D1,2019-01-25 00:00:00+00:00,1.30614,1.3217,1.30577,1.31974
GBPUSD,D1,2019-01-28 00:00:00+00:00,1.31861,1.32112,1.31364,1.3155
GBPUSD,D1,2019-01-29 00:00:00+00:00,1.31517,1.31992,1.30559,1.30657
GBPUSD,D1,2019-01-30 00:00:00+00:00,1.30617,1.31446,1.30534,1.31134
GBPUSD,D1,2019-01-31 00:00:00+00:00,1.31021,1.31594,1.30969,1.31099
GBPUSD,D1,2019-02-01 00:00:00+00:00,1.30989,1.31141,1.30426,1.30812
GBPUSD,D1,2019-02-04 00:00:00+00:00,1.30627,1.31029,1.30283,1.30364
GBPUSD,D1,2019-02-05 00:00:00+00:00,1.3034,1.30507,1.2924,1.29497
GBPUSD,D1,2019-02-06 00:00:00+00:00,1.2943,1.29786,1.29244,1.29276
GBPUSD,D1,2019-02-07 00:00:00+00:00,1.29286,1.29956,1.28531,1.29505
