instrument,timeframe,timestamp,open,high,low,close
GER40,D1,2012-09-25 00:00:00+00:00,7424.0,7439.0,7346.0,7349.0
GER40,D1,2012-09-26 00:00:00+00:00,7362.0,7371.0,7255.0,7280.0
GER40,D1,2012-09-27 00:00:00+00:00,7328.0,7346.0,7267.0,7328.0
GER40,D1,2012-09-28 00:00:00+00:00,7340.0,7343.0,7216.0,7238.0
GER40,D1,2012-10-01 00:00:00+00:00,7212.0,7338.0,7212.0,7273.0
GER40,D1,2012-10-02 00:00:00+00:00,7281.0,7373.0,7265.0,7312.0
GER40,D1,2012-10-03 00:00:00+00:00,7298.0,7338.0,7271.0,7318.0
GER40,D1,2012-10-04 00:00:00+00:00,7349.0,7373.0,7281.0,7323.0
GER40,D1,2012-10-05 00:00:00+00:00,7334.0,7410.0,7314.0,7364.0
GER40,D1,2012-10-08 00:00:00+00:00,7348.0,7356.0,7285.0,7305.0
GER40,D1,2012-10-09 00:00:00+00:00,7321.0,7322.0,7219.0,7219.0
GER40,D1,2012-10-10 00:00:00+00:00,7221.0,7246.0,7183.0,7196.0
GER40,D1,2012-10-11 00:00:00+00:00,7193.0,7306.0,7181.0,7255.0
GER40,D1,2012-10-12 00:00:00+00:00,7268.0,7292.0,7230.0,7244.0
GER40,D1,2012-10-15 00:00:00+00:00,7237.0,7303.0,7220.0,7299.0
GER40,D1,2012-10-16 00:00:00+00:00,7307.0,7390.0,7294.0,7384.0
GER40,D1,2012-10-17 00:00:00+00:00,7382.0,7397.0,7366.0,7387.0
GER40,D1,2012-10-18 00:00:00+00:00,7406.0,7447.0,7389.0,7419.0
GER40,D1,2012-10-19 00:00:00+00:00,7415.0,7431.0,7328.0,7345.0
GER40,D1,2012-10-22 00:00:00+00:00,7370.0,7390.0,7301.0,7345.0
GER40,D1,2012-10-23 00:00:00+00:00,7334.0,7344.0,7152.0,7194.0
GER40,D1,2012-10-24 00:00:00+00:00,7213.0,7215.0,7118.0,7166.0
GER40,D1,2012-10-25 00:00:00+00:00,7202.0,7257.0,7181.0,7212.0
GER40,D1,2012-10-26 00:00:00+00:00,7151.0,7256.0,7146.0,7244.0
GER40,D1,2012-10-29 00:00:00+00:00,7222.0,7225.0,7170.0,7198.0
