instrument,timeframe,timestamp,open,high,low,close
NDX100,D1,2019-01-02 01:00:00+00:00,6340.3,6396.7,6142.1,6248.1
NDX100,D1,2019-01-03 01:00:00+00:00,6247.8,6289.9,6137.7,6158.7
NDX100,D1,2019-01-04 01:00:00+00:00,6158.5,6449.9,6125.3,6415.0
NDX100,D1,2019-01-07 01:00:00+00:00,6432.8,6523.6,6386.3,6489.5
NDX100,D1,2019-01-08 01:00:00+00:00,6488.4,6572.2,6455.0,6537.7
NDX100,D1,2019-01-09 01:00:00+00:00,6538.5,6631.5,6533.7,6589.9
NDX100,D1,2019-01-10 01:00:00+00:00,6589.7,6629.0,6514.5,6614.1
NDX100,D1,2019-01-11 01:00:00+00:00,6614.1,6619.7,6560.1,6602.0
NDX100,D1,2019-01-14 01:00:00+00:00,6601.6,6601.6,6511.2,6534.5
NDX100,D1,2019-01-15 01:00:00+00:00,6534.4,6677.5,6530.9,6665.1
NDX100,D1,2019-01-16 01:00:00+00:00,6664.6,6724.0,6651.4,6658.5
NDX100,D1,2019-01-17 01:00:00+00:00,6658.6,6748.7,6599.6,6717.4
NDX100,D1,2019-01-18 01:00:00+00:00,6717.4,6817.6,6701.3,6793.5
NDX100,D1,2019-01-21 01:00:00+00:00,6794.2,6794.2,6730.3,6750.6
NDX100,D1,2019-01-22 01:00:00+00:00,6753.0,6766.5,6601.1,6641.8
NDX100,D1,2019-01-23 01:00:00+00:00,6642.5,6713.1,6582.3,6659.3
NDX100,D1,2019-01-24 01:00:00+00:00,6659.5,6710.7,6644.0,6676.4
NDX100,D1,2019-01-25 01:00:00+00:00,6675.8,6802.2,6668.9,6785.7
NDX100,D1,2019-01-28 01:00:00+00:00,6785.7,6785.7,6642.0,6690.7
NDX100,D1,2019-01-29 01:00:00+00:00,6690.1,6714.2,6609.3,6673.2
NDX100,D1,2019-01-30 01:00:00+00:00,6670.9,6837.3,6650.1,6829.9
NDX100,D1,2019-01-31 01:00:00+00:00,6829.5,6937.2,6822.4,6924.9
NDX100,D1,2019-02-01 01:00:00+00:00,6924.0,6925.2,6856.1,6874.2
NDX100,D1,2019-02-04 01:00:00+00:00,6874.9,6975.3,6854.0,6939.9
NDX100,D1,2019-02-05 01:00:00+00:00,6939.7,7030.2,6925.1,7006.8
NDX100,D1,2019-02-06 01:00:00+00:00,7007.0,7033.5,6969.2,6982.1
NDX100,D1,2019-02-07 01:00:00+00:00,6983.0,6989.7,6853.2,6896.1
NDX100,D1,2019-02-08 01:00:00+00:00,6896.2,6918.1,6834.8,6915.3
NDX100,D1,2019-02-11 01:00:00+00:00,6915.5,6961.7,6888.6,6902.9
NDX100,D1,2019-02-12 01:00:00+00:00,6903.6,7021.1,6897.9,7011.7
NDX100,D1,2019-02-13 01:00:00+00:00,7011.8,7062.6,7004.0,7007.1
NDX100,D1,2019-02-14 01:00:00+00:00,7007.5,7049.2,6964.4,7010.0
NDX100,D1,2019-02-15 01:00:00+00:00,7014.1,7088.4,6969.7,7058.3
NDX100,D1,2019-02-18 01:00:00+00:00,7057.8,7077.3,7050.2,7075.3
NDX100,D1,2019-02-19 01:00:00+00:00,7075.3,7088.8,7029.9,7058.2
NDX100,D1,2019-02-20 01:00:00+00:00,7058.2,7097.0,7025.0,7063.0
NDX100,D1,2019-02-21 01:00:00+00:00,7063.2,7105.5,6997.7,7029.0
NDX100,D1,2019-02-22 01:00:00+00:00,7029.1,7094.2,7012.4,7092.2
NDX100,D1,2019-02-25 01:00:00+00:00,7092.6,7161.2,7092.6,7113.9
NDX100,D1,2019-02-26 01:00:00+00:00,7114.2,7145.1,7066.9,7103.3
NDX100,D1,2019-02-27 01:00:00+00:00,7103.6,7125.8,7043.2,7115.0
NDX100,D1,2019-02-28 01:00:00+00:00,7115.5,7125.4,7064.7,7103.6
NDX100,D1,2019-03-01 01:00:00+00:00,7104.1,7160.0,7093.0,7152.6
NDX100,D1,2019-03-04 01:00:00+00:00,7152.9,7206.8,7070.1,7138.6
NDX100,D1,2019-03-05 01:00:00+00:00,7139.3,7178.1,7119.9,7153.6
NDX100,D1,2019-03-06 01:00:00+00:00,7153.7,7166.0,7101.8,7103.8
NDX100,D1,2019-03-07 01:00:00+00:00,7104.2,7117.7,7000.3,7023.3
NDX100,D1,2019-03-08 01:00:00+00:00,7023.9,7030.4,6935.5,7027.9
NDX100,D1,2019-03-11 01:00:00+00:00,7027.9,7172.9,6992.8,7168.2
NDX100,D1,2019-03-12 01:00:00+00:00,7168.0,7220.8,7157.7,7207.8
NDX100,D1,2019-03-13 01:00:00+00:00,7207.9,7292.8,7180.8,7267.5
NDX100,D1,2019-03-14 01:00:00+00:00,7267.3,7286.7,7234.7,7240.1
NDX100,D1,2019-03-15 01:00:00+00:00,7239.4,7331.0,7236.9,7314.2
NDX100,D1,2019-03-18 01:00:00+00:00,7314.7,7348.9,7291.3,7332.0
NDX100,D1,2019-03-19 01:00:00+00:00,7332.1,7391.3,7320.8,7345.8
NDX100,D1,2019-03-20 01:00:00+00:00,7345.7,7424.5,7317.5,7365.0
NDX100,D1,2019-03-21 01:00:00+00:00,7365.1,7509.0,7334.5,7497.3
NDX100,D1,2019-03-22 01:00:00+00:00,7498.2,7513.0,7322.4,7328.3
NDX100,D1,2019-03-25 01:00:00+00:00,7328.0,7359.4,7259.2,7331.3
NDX100,D1,2019-03-26 01:00:00+00:00,7330.7,7417.6,7313.6,7354.4
NDX100,D1,2019-03-27 01:00:00+00:00,7354.3,7376.9,7250.1,7294.1
NDX100,D1,2019-03-28 01:00:00+00:00,7294.4,7344.4,7261.1,7327.4
NDX100,D1,2019-03-29 01:00:00+00:00,7327.8,7389.1,7324.0,7386.4
NDX100,D1,2019-04-01 02:00:00+00:00,7386.5,7482.0,7386.5,7471.3
NDX100,D1,2019-04-02 02:00:00+00:00,7472.0,7507.6,7458.1,7491.1
NDX100,D1,2019-04-03 02:00:00+00:00,7487.6,7590.5,7487.3,7552.3
NDX100,D1,2019-04-04 02:00:00+00:00,7551.8,7569.9,7495.1,7534.8
NDX100,D1,2019-04-05 02:00:00+00:00,7534.5,7586.4,7528.7,7584.1
NDX100,D1,2019-04-08 02:00:00+00:00,7584.7,7603.6,7535.4,7600.3
NDX100,D1,2019-04-09 02:00:00+00:00,7600.3,7607.3,7554.7,7564.1
NDX100,D1,2019-04-10 02:00:00+00:00,7564.1,7621.2,7551.4,7618.7
NDX100,D1,2019-04-11 02:00:00+00:00,7618.8,7635.7,7579.1,7595.3
NDX100,D1,2019-04-12 02:00:00+00:00,7594.9,7641.7,7587.7,7628.9
NDX100,D1,2019-04-15 02:00:00+00:00,7628.8,7636.3,7576.4,7626.3
NDX100,D1,2019-04-16 02:00:00+00:00,7626.7,7671.3,7626.1,7653.0
NDX100,D1,2019-04-17 02:00:00+00:00,7652.6,7710.5,7645.3,7666.4
NDX100,D1,2019-04-18 02:00:00+00:00,7664.6,7701.6,7639.1,7694.3
NDX100,D1,2019-04-22 02:00:00+00:00,7694.7,7725.9,7649.4,7718.9
NDX100,D1,2019-04-23 02:00:00+00:00,7719.0,7823.2,7704.6,7811.1
NDX100,D1,2019-04-24 02:00:00+00:00,7812.4,7832.8,7782.8,7818.3
NDX100,D1,2019-04-25 02:00:00+00:00,7819.7,7859.6,7776.4,7778.6
NDX100,D1,2019-04-26 02:00:00+00:00,7778.6,7828.2,7739.0,7818.5
NDX100,D1,2019-04-29 02:00:00+00:00,7818.2,7851.4,7788.8,7788.8
NDX100,D1,2019-04-30 02:00:00+00:00,7788.2,7840.1,7724.1,7833.3
NDX100,D1,2019-05-01 02:00:00+00:00,7831.7,7852.2,7720.5,7721.4
NDX100,D1,2019-05-02 02:00:00+00:00,7722.7,7791.4,7669.2,7724.2
NDX100,D1,2019-05-03 02:00:00+00:00,7723.0,7858.5,7721.7,7855.7
NDX100,D1,2019-05-06 02:00:00+00:00,7878.0,7878.0,7652.1,7726.4
NDX100,D1,2019-05-07 02:00:00+00:00,7741.8,7790.4,7570.2,7657.5
NDX100,D1,2019-05-08 02:00:00+00:00,7657.8,7685.9,7590.4,7628.5
NDX100,D1,2019-05-09 02:00:00+00:00,7628.4,7632.4,7471.4,7579.3
NDX100,D1,2019-05-10 02:00:00+00:00,7579.2,7640.9,7424.5,7596.8
NDX100,D1,2019-05-13 02:00:00+00:00,7597.1,7597.1,7293.7,7301.2
NDX100,D1,2019-05-14 02:00:00+00:00,7301.3,7448.9,7280.1,7410.7
NDX100,D1,2019-05-15 02:00:00+00:00,7410.6,7525.2,7339.8,7511.1
NDX100,D1,2019-05-16 02:00:00+00:00,7511.6,7627.3,7458.4,7588.0
NDX100,D1,2019-05-17 02:00:00+00:00,7587.9,7606.9,7493.6,7497.6
NDX100,D1,2019-05-20 02:00:00+00:00,7497.8,7545.8,7348.8,7392.4
NDX100,D1,2019-05-21 02:00:00+00:00,7392.3,7473.4,7388.2,7448.8
NDX100,D1,2019-05-22 02:00:00+00:00,7448.0,7462.7,7379.3,7413.3
NDX100,D1,2019-05-23 02:00:00+00:00,7413.8,7422.3,7259.5,7305.2
NDX100,D1,2019-05-24 02:00:00+00:00,7305.7,7370.2,7292.7,7302.6
NDX100,D1,2019-05-27 02:00:00+00:00,7301.6,7329.6,7285.3,7308.1
NDX100,D1,2019-05-28 02:00:00+00:00,7308.6,7363.2,7272.7,7283.0
NDX100,D1,2019-05-29 02:00:00+00:00,7281.0,7287.0,7175.7,7204.4
NDX100,D1,2019-05-30 02:00:00+00:00,7203.4,7263.9,7199.8,7245.6
NDX100,D1,2019-05-31 02:00:00+00:00,7245.7,7248.2,7122.7,7129.5
NDX100,D1,2019-06-03 02:00:00+00:00,7129.7,7129.7,6935.7,7002.2
NDX100,D1,2019-06-04 02:00:00+00:00,7002.5,7180.1,6975.7,7178.9
NDX100,D1,2019-06-05 02:00:00+00:00,7178.1,7239.0,7144.5,7222.9
