instrument,timeframe,timestamp,open,high,low,close
SPX500,D1,2019-01-02 01:00:00+00:00,2507.86,2520.06,2451.81,2488.52
SPX500,D1,2019-01-03 01:00:00+00:00,2480.12,2492.08,2443.2,2451.12
SPX500,D1,2019-01-04 01:00:00+00:00,2450.26,2538.66,2438.4,2528.14
SPX500,D1,2019-01-07 01:00:00+00:00,2535.92,2566.75,2522.67,2552.25
SPX500,D1,2019-01-08 01:00:00+00:00,2552.46,2580.14,2546.78,2568.27
SPX500,D1,2019-01-09 01:00:00+00:00,2568.09,2595.47,2567.09,2580.54
SPX500,D1,2019-01-10 01:00:00+00:00,2578.54,2598.46,2559.42,2593.88
SPX500,D1,2019-01-11 01:00:00+00:00,2593.58,2596.71,2576.51,2594.39
SPX500,D1,2019-01-14 01:00:00+00:00,2594.5,2594.5,2566.61,2580.65
SPX500,D1,2019-01-15 01:00:00+00:00,2580.91,2613.15,2579.54,2604.65
SPX500,D1,2019-01-16 01:00:00+00:00,2604.65,2625.75,2601.59,2614.05
SPX500,D1,2019-01-17 01:00:00+00:00,2613.56,2645.25,2595.44,2637.65
SPX500,D1,2019-01-18 01:00:00+00:00,2636.5,2676.9,2632.63,2675.82
SPX500,D1,2019-01-21 01:00:00+00:00,2676.14,2676.14,2655.33,2662.28
SPX500,D1,2019-01-22 01:00:00+00:00,2658.55,2665.43,2616.63,2631.96
SPX500,D1,2019-01-23 01:00:00+00:00,2630.74,2653.13,2612.5,2637.18
SPX500,D1,2019-01-24 01:00:00+00:00,2634.98,2647.14,2626.14,2637.19
SPX500,D1,2019-01-25 01:00:00+00:00,2636.76,2672.34,2634.89,2665.69
SPX500,D1,2019-01-28 01:00:00+00:00,2665.69,2665.69,2623.33,2641.73
SPX500,D1,2019-01-29 01:00:00+00:00,2641.41,2651.09,2629.79,2647.85
SPX500,D1,2019-01-30 01:00:00+00:00,2649.35,2690.84,2637.23,2683.74
SPX500,D1,2019-01-31 01:00:00+00:00,2684.58,2713.67,2676.46,2712.33
SPX500,D1,2019-02-01 01:00:00+00:00,2710.13,2716.6,2696.64,2705.34
