instrument,timeframe,timestamp,open,high,low,close
USOUSD,D1,2019-01-02 01:00:00+00:00,45.786,47.907,44.502,46.444
USOUSD,D1,2019-01-03 01:00:00+00:00,46.38,47.635,45.53,46.962
USOUSD,D1,2019-01-04 01:00:00+00:00,47.067,49.375,46.818,48.442
USOUSD,D1,2019-01-07 01:00:00+00:00,48.776,49.977,48.525,48.926
USOUSD,D1,2019-01-08 01:00:00+00:00,48.908,50.132,48.498,49.968
USOUSD,D1,2019-01-09 01:00:00+00:00,49.978,52.762,49.978,52.388
USOUSD,D1,2019-01-10 01:00:00+00:00,52.376,52.993,51.616,52.505
USOUSD,D1,2019-01-11 01:00:00+00:00,52.486,53.529,51.421,51.923
USOUSD,D1,2019-01-14 01:00:00+00:00,52.11,52.11,50.632,50.981
USOUSD,D1,2019-01-15 01:00:00+00:00,51.021,52.536,50.912,52.25
USOUSD,D1,2019-01-16 01:00:00+00:00,52.252,52.76,51.533,52.59
USOUSD,D1,2019-01-17 01:00:00+00:00,52.545,52.854,51.277,52.444
USOUSD,D1,2019-01-18 01:00:00+00:00,52.425,54.117,52.425,53.957
USOUSD,D1,2019-01-21 01:00:00+00:00,53.753,54.474,53.663,54.185
USOUSD,D1,2019-01-22 01:00:00+00:00,54.181,54.181,52.087,52.99
USOUSD,D1,2019-01-23 01:00:00+00:00,53.043,53.665,51.895,52.431
USOUSD,D1,2019-01-24 01:00:00+00:00,52.487,53.493,52.115,53.208
USOUSD,D1,2019-01-25 01:00:00+00:00,53.245,53.965,52.956,53.581
USOUSD,D1,2019-01-28 01:00:00+00:00,53.435,53.683,51.416,52.144
USOUSD,D1,2019-01-29 01:00:00+00:00,52.17,53.994,51.967,53.303
USOUSD,D1,2019-01-30 01:00:00+00:00,53.346,54.996,53.186,54.284
USOUSD,D1,2019-01-31 01:00:00+00:00,54.344,55.438,53.705,54.103
USOUSD,D1,2019-02-01 01:00:00+00:00,54.101,55.732,53.477,55.451
USOUSD,D1,2019-02-04 01:00:00+00:00,55.355,55.884,53.452,55.013
USOUSD,D1,2019-02-05 01:00:00+00:00,54.987,55.361,53.666,53.86
USOUSD,D1,2019-02-06 01:00:00+00:00,53.914,54.473,53.055,54.103
USOUSD,D1,2019-02-07 01:00:00+00:00,54.149,54.406,52.009,52.804
USOUSD,D1,2019-02-08 01:00:00+00:00,52.821,53.213,52.307,52.929
USOUSD,D1,2019-02-11 01:00:00+00:00,52.657,52.933,51.512,52.695
USOUSD,D1,2019-02-12 01:00:00+00:00,52.701,54.309,52.659,53.608
USOUSD,D1,2019-02-13 01:00:00+00:00,53.64,54.892,53.577,54.282
USOUSD,D1,2019-02-14 01:00:00+00:00,54.448,54.998,53.461,54.777
USOUSD,D1,2019-02-15 01:00:00+00:00,54.766,56.139,54.549,56.117
USOUSD,D1,2019-02-18 01:00:00+00:00,56.234,56.706,56.085,56.438
USOUSD,D1,2019-02-19 01:00:00+00:00,56.438,56.605,55.657,56.422
USOUSD,D1,2019-02-20 01:00:00+00:00,56.407,57.55,55.803,57.256
USOUSD,D1,2019-02-21 01:00:00+00:00,57.277,57.6,56.677,56.896
USOUSD,D1,2019-02-22 01:00:00+00:00,56.882,57.844,56.849,57.147
USOUSD,D1,2019-02-25 01:00:00+00:00,57.533,57.604,55.182,55.5
USOUSD,D1,2019-02-26 01:00:00+00:00,55.531,56.182,55.126,56.077
USOUSD,D1,2019-02-27 01:00:00+00:00,56.052,57.499,55.84,57.09
USOUSD,D1,2019-02-28 01:00:00+00:00,57.076,57.528,56.55,57.35
USOUSD,D1,2019-03-01 01:00:00+00:00,57.376,57.979,55.705,55.89
USOUSD,D1,2019-03-04 01:00:00+00:00,56.224,57.163,55.989,56.606
USOUSD,D1,2019-03-05 01:00:00+00:00,56.617,57.356,56.261,56.44
USOUSD,D1,2019-03-06 01:00:00+00:00,56.426,56.603,55.68,56.392
USOUSD,D1,2019-03-07 01:00:00+00:00,56.395,57.18,56.289,56.599
USOUSD,D1,2019-03-08 01:00:00+00:00,56.614,56.664,54.729,56.213
USOUSD,D1,2019-03-11 01:00:00+00:00,56.377,57.204,56.273,57.002
USOUSD,D1,2019-03-12 01:00:00+00:00,57.0,57.771,56.987,57.323
USOUSD,D1,2019-03-13 01:00:00+00:00,57.299,58.708,57.246,58.567
USOUSD,D1,2019-03-14 01:00:00+00:00,58.549,58.985,58.25,58.752
USOUSD,D1,2019-03-15 01:00:00+00:00,58.712,59.171,57.984,58.662
USOUSD,D1,2019-03-18 01:00:00+00:00,58.72,59.507,58.339,59.254
USOUSD,D1,2019-03-19 01:00:00+00:00,59.245,59.84,58.888,59.284
USOUSD,D1,2019-03-20 01:00:00+00:00,59.274,60.265,58.576,59.987
USOUSD,D1,2019-03-21 01:00:00+00:00,59.976,60.386,59.664,59.871
USOUSD,D1,2019-03-22 01:00:00+00:00,59.886,60.062,58.289,58.977
