instrument,timeframe,timestamp,open,high,low,close
XAUUSD,D1,2012-01-03 00:00:00+00:00,1568.97,1607.27,1566.03,1603.7
XAUUSD,D1,2012-01-04 00:00:00+00:00,1603.45,1618.45,1592.7,1611.79
XAUUSD,D1,2012-01-05 00:00:00+00:00,1612.45,1625.6,1596.68,1622.41
XAUUSD,D1,2012-01-06 00:00:00+00:00,1620.86,1631.14,1608.43,1617.19
XAUUSD,D1,2012-01-09 00:00:00+00:00,1616.94,1623.55,1604.99,1610.85
XAUUSD,D1,2012-01-10 00:00:00+00:00,1610.65,1640.11,1608.13,1632.05
XAUUSD,D1,2012-01-11 00:00:00+00:00,1631.35,1647.08,1630.06,1641.45
XAUUSD,D1,2012-01-12 00:00:00+00:00,1642.02,1661.95,1640.05,1649.67
XAUUSD,D1,2012-01-13 00:00:00+00:00,1648.9,1649.55,1625.3,1638.98
XAUUSD,D1,2012-01-16 00:00:00+00:00,1635.02,1647.05,1631.45,1643.58
XAUUSD,D1,2012-01-17 00:00:00+00:00,1641.93,1667.63,1641.55,1651.96
XAUUSD,D1,2012-01-18 00:00:00+00:00,1651.3,1662.39,1642.52,1659.5
XAUUSD,D1,2012-01-19 00:00:00+00:00,1660.4,1670.05,1649.14,1658.31
XAUUSD,D1,2012-01-20 00:00:00+00:00,1656.3,1666.9,1644.92,1666.14
XAUUSD,D1,2012-01-23 00:00:00+00:00,1664.62,1681.4,1662.56,1676.29
XAUUSD,D1,2012-01-24 00:00:00+00:00,1675.5,1679.55,1661.39,1664.92
XAUUSD,D1,2012-01-25 00:00:00+00:00,1665.95,1713.01,1649.01,1710.47
XAUUSD,D1,2012-01-26 00:00:00+00:00,1710.51,1730.29,1702.65,1720.23
XAUUSD,D1,2012-01-27 00:00:00+00:00,1719.22,1739.73,1714.26,1738.48
XAUUSD,D1,2012-01-30 00:00:00+00:00,1736.34,1739.88,1715.76,1729.46
XAUUSD,D1,2012-01-31 00:00:00+00:00,1731.38,1747.52,1725.83,1737.28
XAUUSD,D1,2012-02-01 00:00:00+00:00,1737.0,1751.14,1732.53,1743.45
XAUUSD,D1,2012-02-02 00:00:00+00:00,1743.8,1761.0,1740.98,1759.16
XAUUSD,D1,2012-02-03 00:00:00+00:00,1758.5,1763.16,1723.46,1725.84
XAUUSD,D1,2012-02-06 00:00:00+00:00,1727.65,1738.04,1711.28,1720.05
XAUUSD,D1,2012-02-07 00:00:00+00:00,1719.9,1749.81,1710.07,1745.0
XAUUSD,D1,2012-02-08 00:00:00+00:00,1744.85,1752.02,1723.98,1732.86
XAUUSD,D1,2012-02-09 00:00:00+00:00,1731.58,1752.59,1725.8,1728.92
